Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
03/29/2021,"117,000","117,000",Massachusetts
03/29/2021,"23,400","23,400",New Hampshire
03/29/2021,"18,720","18,720",Rhode Island
03/29/2021,"11,700","11,700",Vermont
03/29/2021,"148,590","148,590",New Jersey
03/29/2021,"188,370","188,370",New York
03/29/2021,"143,910","143,910",New York City
03/29/2021,"58,500","58,500",Puerto Rico
03/29/2021,"2,340","2,340",U.S. Virgin Islands
03/29/2021,"16,380","16,380",Delaware
03/29/2021,"12,870","12,870",District of Columbia
03/29/2021,"100,620","100,620",Maryland
03/29/2021,"190,710","190,710",Pennsylvania
03/29/2021,"26,910","26,910",Philadelphia
03/29/2021,"140,400","140,400",Virginia
03/29/2021,"31,590","31,590",West Virginia
03/29/2021,"80,730","80,730",Alabama
03/29/2021,"352,170","352,170",Florida
03/29/2021,"167,310","167,310",Georgia
03/29/2021,"73,710","73,710",Kentucky
